,branch,heat_demand,year,month,day,hour,date,ymd,imputated_temperature,season
224,강남,663,2021,1,01,01,2021-01-01 01:00:00,2021-01-01,-7.2,겨울
243,강남,656,2021,1,01,02,2021-01-01 02:00:00,2021-01-01,-7.6,겨울
267,강남,635,2021,1,01,03,2021-01-01 03:00:00,2021-01-01,-8.2,겨울
656,강남,622,2021,1,01,04,2021-01-01 04:00:00,2021-01-01,-8.1,겨울
717,강남,603,2021,1,01,05,2021-01-01 05:00:00,2021-01-01,-8.7,겨울
830,강남,621,2021,1,01,06,2021-01-01 06:00:00,2021-01-01,-8.9,겨울
889,강남,621,2021,1,01,07,2021-01-01 07:00:00,2021-01-01,-8.2,겨울
932,강남,625,2021,1,01,08,2021-01-01 08:00:00,2021-01-01,-8.4,겨울
952,강남,631,2021,1,01,09,2021-01-01 09:00:00,2021-01-01,-6.9,겨울
1151,강남,608,2021,1,01,10,2021-01-01 10:00:00,2021-01-01,-5.1,겨울
1931,강남,603,2021,1,01,11,2021-01-01 11:00:00,2021-01-01,-2.5,겨울
1959,강남,557,2021,1,01,12,2021-01-01 12:00:00,2021-01-01,-1.6,겨울
2001,강남,529,2021,1,01,13,2021-01-01 13:00:00,2021-01-01,-0.6,겨울
2039,강남,489,2021,1,01,14,2021-01-01 14:00:00,2021-01-01,1.3,겨울
2052,강남,496,2021,1,01,15,2021-01-01 15:00:00,2021-01-01,0.5,겨울
2086,강남,499,2021,1,01,16,2021-01-01 16:00:00,2021-01-01,0.7,겨울
2115,강남,536,2021,1,01,17,2021-01-01 17:00:00,2021-01-01,0.1,겨울
2137,강남,582,2021,1,01,18,2021-01-01 18:00:00,2021-01-01,-0.3,겨울
2177,강남,682,2021,1,01,19,2021-01-01 19:00:00,2021-01-01,-0.9,겨울
2220,강남,699,2021,1,01,20,2021-01-01 20:00:00,2021-01-01,-1.5,겨울
2277,강남,722,2021,1,01,21,2021-01-01 21:00:00,2021-01-01,-1.4,겨울
2308,강남,708,2021,1,01,22,2021-01-01 22:00:00,2021-01-01,-1.2,겨울
2356,강남,683,2021,1,01,23,2021-01-01 23:00:00,2021-01-01,-1.4,겨울
2402,강남,630,2021,1,02,00,2021-01-02 00:00:00,2021-01-02,-2.0,겨울
2461,강남,649,2021,1,02,01,2021-01-02 01:00:00,2021-01-02,-2.7,겨울
2502,강남,590,2021,1,02,02,2021-01-02 02:00:00,2021-01-02,-3.6,겨울
2553,강남,581,2021,1,02,03,2021-01-02 03:00:00,2021-01-02,-4.1,겨울
2590,강남,571,2021,1,02,04,2021-01-02 04:00:00,2021-01-02,-5.1,겨울
2886,강남,579,2021,1,02,05,2021-01-02 05:00:00,2021-01-02,-5.2,겨울
2913,강남,587,2021,1,02,06,2021-01-02 06:00:00,2021-01-02,-6.0,겨울
2937,강남,594,2021,1,02,07,2021-01-02 07:00:00,2021-01-02,-5.9,겨울
2974,강남,612,2021,1,02,08,2021-01-02 08:00:00,2021-01-02,-6.6,겨울
3000,강남,623,2021,1,02,09,2021-01-02 09:00:00,2021-01-02,-5.7,겨울
3021,강남,617,2021,1,02,10,2021-01-02 10:00:00,2021-01-02,-4.3,겨울
3043,강남,601,2021,1,02,11,2021-01-02 11:00:00,2021-01-02,-3.2,겨울
3081,강남,570,2021,1,02,12,2021-01-02 12:00:00,2021-01-02,-2.2,겨울
3103,강남,536,2021,1,02,13,2021-01-02 13:00:00,2021-01-02,-1.4,겨울
3147,강남,524,2021,1,02,14,2021-01-02 14:00:00,2021-01-02,-0.6,겨울
3181,강남,517,2021,1,02,15,2021-01-02 15:00:00,2021-01-02,-0.7,겨울
3220,강남,525,2021,1,02,16,2021-01-02 16:00:00,2021-01-02,-1.4,겨울
3236,강남,545,2021,1,02,17,2021-01-02 17:00:00,2021-01-02,-1.8,겨울
3294,강남,603,2021,1,02,18,2021-01-02 18:00:00,2021-01-02,-2.4,겨울
3331,강남,703,2021,1,02,19,2021-01-02 19:00:00,2021-01-02,-2.6,겨울
3392,강남,743,2021,1,02,20,2021-01-02 20:00:00,2021-01-02,-3.0,겨울
3437,강남,747,2021,1,02,21,2021-01-02 21:00:00,2021-01-02,-3.5,겨울
3465,강남,724,2021,1,02,22,2021-01-02 22:00:00,2021-01-02,-4.1,겨울
3528,강남,702,2021,1,02,23,2021-01-02 23:00:00,2021-01-02,-4.6,겨울
3562,강남,661,2021,1,03,00,2021-01-03 00:00:00,2021-01-03,-5.5,겨울
3579,강남,686,2021,1,03,01,2021-01-03 01:00:00,2021-01-03,-6.0,겨울
3602,강남,624,2021,1,03,02,2021-01-03 02:00:00,2021-01-03,-6.5,겨울
3637,강남,604,2021,1,03,03,2021-01-03 03:00:00,2021-01-03,-6.4,겨울
3992,강남,585,2021,1,03,04,2021-01-03 04:00:00,2021-01-03,-6.7,겨울
4027,강남,583,2021,1,03,05,2021-01-03 05:00:00,2021-01-03,-7.0,겨울
4058,강남,579,2021,1,03,06,2021-01-03 06:00:00,2021-01-03,-7.4,겨울
4248,강남,601,2021,1,03,07,2021-01-03 07:00:00,2021-01-03,-8.2,겨울
4267,강남,617,2021,1,03,08,2021-01-03 08:00:00,2021-01-03,-8.5,겨울
4359,강남,639,2021,1,03,09,2021-01-03 09:00:00,2021-01-03,-7.0,겨울
4382,강남,625,2021,1,03,10,2021-01-03 10:00:00,2021-01-03,-3.4,겨울
4432,강남,579,2021,1,03,11,2021-01-03 11:00:00,2021-01-03,-2.7,겨울
4460,강남,551,2021,1,03,12,2021-01-03 12:00:00,2021-01-03,-2.2,겨울
6106,강남,529,2021,1,03,13,2021-01-03 13:00:00,2021-01-03,-1.3,겨울
6130,강남,526,2021,1,03,14,2021-01-03 14:00:00,2021-01-03,-0.8,겨울
6156,강남,547,2021,1,03,15,2021-01-03 15:00:00,2021-01-03,-1.1,겨울
6178,강남,571,2021,1,03,16,2021-01-03 16:00:00,2021-01-03,-1.3,겨울
6202,강남,611,2021,1,03,17,2021-01-03 17:00:00,2021-01-03,-2.0,겨울
6229,강남,654,2021,1,03,18,2021-01-03 18:00:00,2021-01-03,-2.4,겨울
6296,강남,722,2021,1,03,19,2021-01-03 19:00:00,2021-01-03,-2.6,겨울
7246,강남,749,2021,1,03,20,2021-01-03 20:00:00,2021-01-03,-3.0,겨울
7267,강남,761,2021,1,03,21,2021-01-03 21:00:00,2021-01-03,-3.6,겨울
7316,강남,741,2021,1,03,22,2021-01-03 22:00:00,2021-01-03,-4.7,겨울
7345,강남,725,2021,1,03,23,2021-01-03 23:00:00,2021-01-03,-5.0,겨울
7604,강남,706,2021,1,04,00,2021-01-04 00:00:00,2021-01-04,-5.0,겨울
7617,강남,656,2021,1,04,01,2021-01-04 01:00:00,2021-01-04,-6.0,겨울
7637,강남,628,2021,1,04,02,2021-01-04 02:00:00,2021-01-04,-6.6,겨울
7705,강남,600,2021,1,04,03,2021-01-04 03:00:00,2021-01-04,-7.5,겨울
7746,강남,585,2021,1,04,04,2021-01-04 04:00:00,2021-01-04,-7.5,겨울
7863,강남,585,2021,1,04,05,2021-01-04 05:00:00,2021-01-04,-7.9,겨울
7887,강남,610,2021,1,04,06,2021-01-04 06:00:00,2021-01-04,-6.6,겨울
8028,강남,634,2021,1,04,07,2021-01-04 07:00:00,2021-01-04,-6.7,겨울
8029,강남,670,2021,1,04,08,2021-01-04 08:00:00,2021-01-04,-7.4,겨울
8063,강남,683,2021,1,04,09,2021-01-04 09:00:00,2021-01-04,-5.8,겨울
8083,강남,645,2021,1,04,10,2021-01-04 10:00:00,2021-01-04,-4.2,겨울
8352,강남,604,2021,1,04,11,2021-01-04 11:00:00,2021-01-04,-2.7,겨울
8388,강남,590,2021,1,04,12,2021-01-04 12:00:00,2021-01-04,-1.4,겨울
8400,강남,541,2021,1,04,13,2021-01-04 13:00:00,2021-01-04,-0.9,겨울
8438,강남,550,2021,1,04,14,2021-01-04 14:00:00,2021-01-04,0.3,겨울
8471,강남,505,2021,1,04,15,2021-01-04 15:00:00,2021-01-04,0.7,겨울
8507,강남,523,2021,1,04,16,2021-01-04 16:00:00,2021-01-04,0.6,겨울
8555,강남,550,2021,1,04,17,2021-01-04 17:00:00,2021-01-04,0.2,겨울
8587,강남,647,2021,1,04,18,2021-01-04 18:00:00,2021-01-04,-0.3,겨울
8614,강남,721,2021,1,04,19,2021-01-04 19:00:00,2021-01-04,-0.1,겨울
8649,강남,763,2021,1,04,20,2021-01-04 20:00:00,2021-01-04,-0.1,겨울
8668,강남,719,2021,1,04,21,2021-01-04 21:00:00,2021-01-04,0.1,겨울
8726,강남,707,2021,1,04,22,2021-01-04 22:00:00,2021-01-04,-0.1,겨울
8769,강남,671,2021,1,04,23,2021-01-04 23:00:00,2021-01-04,-0.3,겨울
8820,강남,628,2021,1,05,00,2021-01-05 00:00:00,2021-01-05,-1.7,겨울
8838,강남,755,2021,1,05,01,2021-01-05 01:00:00,2021-01-05,-2.3,겨울
8873,강남,567,2021,1,05,02,2021-01-05 02:00:00,2021-01-05,-2.1,겨울
8917,강남,538,2021,1,05,03,2021-01-05 03:00:00,2021-01-05,-2.1,겨울
8964,강남,504,2021,1,05,04,2021-01-05 04:00:00,2021-01-05,-1.7,겨울
8991,강남,496,2021,1,05,05,2021-01-05 05:00:00,2021-01-05,-2.0,겨울
9020,강남,503,2021,1,05,06,2021-01-05 06:00:00,2021-01-05,-2.6,겨울
9038,강남,554,2021,1,05,07,2021-01-05 07:00:00,2021-01-05,-3.2,겨울
9079,강남,628,2021,1,05,08,2021-01-05 08:00:00,2021-01-05,-4.1,겨울
9090,강남,696,2021,1,05,09,2021-01-05 09:00:00,2021-01-05,-4.2,겨울
9128,강남,688,2021,1,05,10,2021-01-05 10:00:00,2021-01-05,-3.8,겨울
9147,강남,627,2021,1,05,11,2021-01-05 11:00:00,2021-01-05,-3.4,겨울
9189,강남,597,2021,1,05,12,2021-01-05 12:00:00,2021-01-05,-3.1,겨울
9245,강남,559,2021,1,05,13,2021-01-05 13:00:00,2021-01-05,-2.8,겨울
9271,강남,541,2021,1,05,14,2021-01-05 14:00:00,2021-01-05,-2.4,겨울
9318,강남,512,2021,1,05,15,2021-01-05 15:00:00,2021-01-05,-3.2,겨울
9353,강남,504,2021,1,05,16,2021-01-05 16:00:00,2021-01-05,-2.7,겨울
9400,강남,530,2021,1,05,17,2021-01-05 17:00:00,2021-01-05,-3.8,겨울
9454,강남,701,2021,1,05,18,2021-01-05 18:00:00,2021-01-05,-4.5,겨울
9473,강남,764,2021,1,05,19,2021-01-05 19:00:00,2021-01-05,-5.0,겨울
9494,강남,793,2021,1,05,20,2021-01-05 20:00:00,2021-01-05,-5.6,겨울
9508,강남,808,2021,1,05,21,2021-01-05 21:00:00,2021-01-05,-6.3,겨울
9538,강남,804,2021,1,05,22,2021-01-05 22:00:00,2021-01-05,-6.8,겨울
9575,강남,753,2021,1,05,23,2021-01-05 23:00:00,2021-01-05,-7.4,겨울
9611,강남,704,2021,1,06,00,2021-01-06 00:00:00,2021-01-06,-7.8,겨울
9630,강남,695,2021,1,06,01,2021-01-06 01:00:00,2021-01-06,-8.4,겨울
9652,강남,656,2021,1,06,02,2021-01-06 02:00:00,2021-01-06,-8.5,겨울
10441,강남,647,2021,1,06,03,2021-01-06 03:00:00,2021-01-06,-9.1,겨울
10465,강남,641,2021,1,06,04,2021-01-06 04:00:00,2021-01-06,-9.5,겨울
10490,강남,628,2021,1,06,05,2021-01-06 05:00:00,2021-01-06,-10.1,겨울
10517,강남,634,2021,1,06,06,2021-01-06 06:00:00,2021-01-06,-9.9,겨울
10565,강남,644,2021,1,06,07,2021-01-06 07:00:00,2021-01-06,-9.8,겨울
10597,강남,716,2021,1,06,08,2021-01-06 08:00:00,2021-01-06,-10.1,겨울
10630,강남,764,2021,1,06,09,2021-01-06 09:00:00,2021-01-06,-9.3,겨울
10669,강남,718,2021,1,06,10,2021-01-06 10:00:00,2021-01-06,-6.5,겨울
11358,강남,610,2021,1,06,11,2021-01-06 11:00:00,2021-01-06,-5.1,겨울
11379,강남,601,2021,1,06,12,2021-01-06 12:00:00,2021-01-06,-4.9,겨울
11413,강남,562,2021,1,06,13,2021-01-06 13:00:00,2021-01-06,-3.2,겨울
11441,강남,535,2021,1,06,14,2021-01-06 14:00:00,2021-01-06,-2.6,겨울
11479,강남,530,2021,1,06,15,2021-01-06 15:00:00,2021-01-06,-1.7,겨울
11519,강남,521,2021,1,06,16,2021-01-06 16:00:00,2021-01-06,-2.4,겨울
11567,강남,541,2021,1,06,17,2021-01-06 17:00:00,2021-01-06,-2.7,겨울
11597,강남,661,2021,1,06,18,2021-01-06 18:00:00,2021-01-06,-3.0,겨울
11615,강남,744,2021,1,06,19,2021-01-06 19:00:00,2021-01-06,-5.0,겨울
11653,강남,808,2021,1,06,20,2021-01-06 20:00:00,2021-01-06,-5.8,겨울
11698,강남,810,2021,1,06,21,2021-01-06 21:00:00,2021-01-06,-5.1,겨울
11715,강남,816,2021,1,06,22,2021-01-06 22:00:00,2021-01-06,-4.5,겨울
11759,강남,801,2021,1,06,23,2021-01-06 23:00:00,2021-01-06,-5.4,겨울
11810,강남,770,2021,1,07,00,2021-01-07 00:00:00,2021-01-07,-7.3,겨울
11821,강남,655,2021,1,07,01,2021-01-07 01:00:00,2021-01-07,-9.0,겨울
11900,강남,736,2021,1,07,02,2021-01-07 02:00:00,2021-01-07,-11.0,겨울
11943,강남,737,2021,1,07,03,2021-01-07 03:00:00,2021-01-07,-12.0,겨울
11991,강남,711,2021,1,07,04,2021-01-07 04:00:00,2021-01-07,-13.5,겨울
12026,강남,696,2021,1,07,05,2021-01-07 05:00:00,2021-01-07,-14.1,겨울
12057,강남,705,2021,1,07,06,2021-01-07 06:00:00,2021-01-07,-14.8,겨울
12096,강남,754,2021,1,07,07,2021-01-07 07:00:00,2021-01-07,-15.3,겨울
12273,강남,782,2021,1,07,08,2021-01-07 08:00:00,2021-01-07,-15.6,겨울
12307,강남,799,2021,1,07,09,2021-01-07 09:00:00,2021-01-07,-15.4,겨울
12383,강남,785,2021,1,07,10,2021-01-07 10:00:00,2021-01-07,-14.0,겨울
12448,강남,769,2021,1,07,11,2021-01-07 11:00:00,2021-01-07,-13.7,겨울
12510,강남,749,2021,1,07,12,2021-01-07 12:00:00,2021-01-07,-11.8,겨울
12575,강남,706,2021,1,07,13,2021-01-07 13:00:00,2021-01-07,-12.1,겨울
12619,강남,683,2021,1,07,14,2021-01-07 14:00:00,2021-01-07,-10.9,겨울
12638,강남,662,2021,1,07,15,2021-01-07 15:00:00,2021-01-07,-11.4,겨울
12644,강남,670,2021,1,07,16,2021-01-07 16:00:00,2021-01-07,-11.4,겨울
12676,강남,685,2021,1,07,17,2021-01-07 17:00:00,2021-01-07,-12.2,겨울
12702,강남,744,2021,1,07,18,2021-01-07 18:00:00,2021-01-07,-13.2,겨울
12736,강남,840,2021,1,07,19,2021-01-07 19:00:00,2021-01-07,-13.0,겨울
12764,강남,867,2021,1,07,20,2021-01-07 20:00:00,2021-01-07,-13.2,겨울
12783,강남,883,2021,1,07,21,2021-01-07 21:00:00,2021-01-07,-13.5,겨울
12807,강남,890,2021,1,07,22,2021-01-07 22:00:00,2021-01-07,-14.1,겨울
12842,강남,886,2021,1,07,23,2021-01-07 23:00:00,2021-01-07,-14.2,겨울
12857,강남,838,2021,1,08,00,2021-01-08 00:00:00,2021-01-08,-14.9,겨울
12884,강남,820,2021,1,08,01,2021-01-08 01:00:00,2021-01-08,-15.3,겨울
12919,강남,773,2021,1,08,02,2021-01-08 02:00:00,2021-01-08,-15.7,겨울
12933,강남,732,2021,1,08,03,2021-01-08 03:00:00,2021-01-08,-16.1,겨울
12951,강남,733,2021,1,08,04,2021-01-08 04:00:00,2021-01-08,-16.5,겨울
12972,강남,723,2021,1,08,05,2021-01-08 05:00:00,2021-01-08,-16.6,겨울
13004,강남,754,2021,1,08,06,2021-01-08 06:00:00,2021-01-08,-16.7,겨울
13028,강남,760,2021,1,08,07,2021-01-08 07:00:00,2021-01-08,-16.9,겨울
13073,강남,818,2021,1,08,08,2021-01-08 08:00:00,2021-01-08,-16.7,겨울
13113,강남,839,2021,1,08,09,2021-01-08 09:00:00,2021-01-08,-16.4,겨울
13156,강남,850,2021,1,08,10,2021-01-08 10:00:00,2021-01-08,-15.3,겨울
13186,강남,796,2021,1,08,11,2021-01-08 11:00:00,2021-01-08,-14.1,겨울
13230,강남,742,2021,1,08,12,2021-01-08 12:00:00,2021-01-08,-12.2,겨울
13729,강남,698,2021,1,08,13,2021-01-08 13:00:00,2021-01-08,-11.3,겨울
13749,강남,686,2021,1,08,14,2021-01-08 14:00:00,2021-01-08,-10.2,겨울
13772,강남,672,2021,1,08,15,2021-01-08 15:00:00,2021-01-08,-9.6,겨울
13815,강남,666,2021,1,08,16,2021-01-08 16:00:00,2021-01-08,-10.1,겨울
13828,강남,737,2021,1,08,17,2021-01-08 17:00:00,2021-01-08,-11.2,겨울
13862,강남,782,2021,1,08,18,2021-01-08 18:00:00,2021-01-08,-11.5,겨울
13925,강남,850,2021,1,08,19,2021-01-08 19:00:00,2021-01-08,-11.8,겨울
13973,강남,868,2021,1,08,20,2021-01-08 20:00:00,2021-01-08,-12.3,겨울
14005,강남,905,2021,1,08,21,2021-01-08 21:00:00,2021-01-08,-12.7,겨울
14030,강남,885,2021,1,08,22,2021-01-08 22:00:00,2021-01-08,-13.3,겨울
14337,강남,908,2021,1,08,23,2021-01-08 23:00:00,2021-01-08,-13.9,겨울
14364,강남,879,2021,1,09,00,2021-01-09 00:00:00,2021-01-09,-14.3,겨울
14376,강남,789,2021,1,09,01,2021-01-09 01:00:00,2021-01-09,-14.3,겨울
14401,강남,798,2021,1,09,02,2021-01-09 02:00:00,2021-01-09,-14.5,겨울
14420,강남,754,2021,1,09,03,2021-01-09 03:00:00,2021-01-09,-14.5,겨울
14452,강남,738,2021,1,09,04,2021-01-09 04:00:00,2021-01-09,-15.1,겨울
14467,강남,716,2021,1,09,05,2021-01-09 05:00:00,2021-01-09,-14.8,겨울
14504,강남,729,2021,1,09,06,2021-01-09 06:00:00,2021-01-09,-14.7,겨울
14518,강남,749,2021,1,09,07,2021-01-09 07:00:00,2021-01-09,-15.2,겨울
14563,강남,750,2021,1,09,08,2021-01-09 08:00:00,2021-01-09,-15.6,겨울
14616,강남,786,2021,1,09,09,2021-01-09 09:00:00,2021-01-09,-14.2,겨울
14656,강남,798,2021,1,09,10,2021-01-09 10:00:00,2021-01-09,-12.2,겨울
14689,강남,756,2021,1,09,11,2021-01-09 11:00:00,2021-01-09,-10.4,겨울
14713,강남,712,2021,1,09,12,2021-01-09 12:00:00,2021-01-09,-9.7,겨울
14755,강남,701,2021,1,09,13,2021-01-09 13:00:00,2021-01-09,-8.5,겨울
14784,강남,664,2021,1,09,14,2021-01-09 14:00:00,2021-01-09,-7.8,겨울
14812,강남,668,2021,1,09,15,2021-01-09 15:00:00,2021-01-09,-7.1,겨울
14830,강남,691,2021,1,09,16,2021-01-09 16:00:00,2021-01-09,-7.2,겨울
14871,강남,716,2021,1,09,17,2021-01-09 17:00:00,2021-01-09,-8.1,겨울
14923,강남,779,2021,1,09,18,2021-01-09 18:00:00,2021-01-09,-8.8,겨울
14943,강남,830,2021,1,09,19,2021-01-09 19:00:00,2021-01-09,-9.1,겨울
14972,강남,858,2021,1,09,20,2021-01-09 20:00:00,2021-01-09,-9.5,겨울
15011,강남,903,2021,1,09,21,2021-01-09 21:00:00,2021-01-09,-9.8,겨울
15043,강남,876,2021,1,09,22,2021-01-09 22:00:00,2021-01-09,-10.3,겨울
15083,강남,828,2021,1,09,23,2021-01-09 23:00:00,2021-01-09,-10.6,겨울
15111,강남,784,2021,1,10,00,2021-01-10 00:00:00,2021-01-10,-11.8,겨울
15126,강남,760,2021,1,10,01,2021-01-10 01:00:00,2021-01-10,-11.4,겨울
15162,강남,754,2021,1,10,02,2021-01-10 02:00:00,2021-01-10,-11.9,겨울
15210,강남,720,2021,1,10,03,2021-01-10 03:00:00,2021-01-10,-12.8,겨울
15218,강남,702,2021,1,10,04,2021-01-10 04:00:00,2021-01-10,-13.6,겨울
15240,강남,697,2021,1,10,05,2021-01-10 05:00:00,2021-01-10,-13.7,겨울
15278,강남,703,2021,1,10,06,2021-01-10 06:00:00,2021-01-10,-13.9,겨울
15823,강남,712,2021,1,10,07,2021-01-10 07:00:00,2021-01-10,-14.2,겨울
15874,강남,717,2021,1,10,08,2021-01-10 08:00:00,2021-01-10,-14.0,겨울
15909,강남,736,2021,1,10,09,2021-01-10 09:00:00,2021-01-10,-12.0,겨울
15937,강남,740,2021,1,10,10,2021-01-10 10:00:00,2021-01-10,-9.5,겨울
15950,강남,712,2021,1,10,11,2021-01-10 11:00:00,2021-01-10,-7.3,겨울
15978,강남,682,2021,1,10,12,2021-01-10 12:00:00,2021-01-10,-5.8,겨울
15998,강남,646,2021,1,10,13,2021-01-10 13:00:00,2021-01-10,-4.3,겨울
16014,강남,622,2021,1,10,14,2021-01-10 14:00:00,2021-01-10,-4.0,겨울
16782,강남,614,2021,1,10,15,2021-01-10 15:00:00,2021-01-10,-3.1,겨울
16821,강남,614,2021,1,10,16,2021-01-10 16:00:00,2021-01-10,-3.8,겨울
16866,강남,652,2021,1,10,17,2021-01-10 17:00:00,2021-01-10,-3.7,겨울
16911,강남,740,2021,1,10,18,2021-01-10 18:00:00,2021-01-10,-4.2,겨울
16965,강남,821,2021,1,10,19,2021-01-10 19:00:00,2021-01-10,-4.1,겨울
17009,강남,831,2021,1,10,20,2021-01-10 20:00:00,2021-01-10,-4.2,겨울
17031,강남,841,2021,1,10,21,2021-01-10 21:00:00,2021-01-10,-4.7,겨울
17112,강남,832,2021,1,10,22,2021-01-10 22:00:00,2021-01-10,-6.5,겨울
17146,강남,820,2021,1,10,23,2021-01-10 23:00:00,2021-01-10,-7.1,겨울
17169,강남,790,2021,1,11,00,2021-01-11 00:00:00,2021-01-11,-7.7,겨울
17202,강남,728,2021,1,11,01,2021-01-11 01:00:00,2021-01-11,-8.7,겨울
17251,강남,712,2021,1,11,02,2021-01-11 02:00:00,2021-01-11,-8.4,겨울
17301,강남,692,2021,1,11,03,2021-01-11 03:00:00,2021-01-11,-9.8,겨울
17332,강남,687,2021,1,11,04,2021-01-11 04:00:00,2021-01-11,-9.6,겨울
18074,강남,683,2021,1,11,05,2021-01-11 05:00:00,2021-01-11,-10.4,겨울
18099,강남,704,2021,1,11,06,2021-01-11 06:00:00,2021-01-11,-10.7,겨울
18121,강남,724,2021,1,11,07,2021-01-11 07:00:00,2021-01-11,-10.0,겨울
18133,강남,750,2021,1,11,08,2021-01-11 08:00:00,2021-01-11,-9.0,겨울
18161,강남,791,2021,1,11,09,2021-01-11 09:00:00,2021-01-11,-7.8,겨울
18185,강남,802,2021,1,11,10,2021-01-11 10:00:00,2021-01-11,-7.2,겨울
18220,강남,749,2021,1,11,11,2021-01-11 11:00:00,2021-01-11,-6.3,겨울
18237,강남,725,2021,1,11,12,2021-01-11 12:00:00,2021-01-11,-5.2,겨울
18258,강남,718,2021,1,11,13,2021-01-11 13:00:00,2021-01-11,-4.9,겨울
18449,강남,679,2021,1,11,14,2021-01-11 14:00:00,2021-01-11,-4.1,겨울
18857,강남,665,2021,1,11,15,2021-01-11 15:00:00,2021-01-11,-3.5,겨울
18884,강남,679,2021,1,11,16,2021-01-11 16:00:00,2021-01-11,-3.7,겨울
18906,강남,685,2021,1,11,17,2021-01-11 17:00:00,2021-01-11,-3.7,겨울
18937,강남,717,2021,1,11,18,2021-01-11 18:00:00,2021-01-11,-4.9,겨울
18961,강남,744,2021,1,11,19,2021-01-11 19:00:00,2021-01-11,-4.9,겨울
19003,강남,788,2021,1,11,20,2021-01-11 20:00:00,2021-01-11,-6.8,겨울
19055,강남,822,2021,1,11,21,2021-01-11 21:00:00,2021-01-11,-5.8,겨울
19096,강남,838,2021,1,11,22,2021-01-11 22:00:00,2021-01-11,-6.4,겨울
19128,강남,838,2021,1,11,23,2021-01-11 23:00:00,2021-01-11,-6.9,겨울
19162,강남,749,2021,1,12,00,2021-01-12 00:00:00,2021-01-12,-6.2,겨울
19203,강남,702,2021,1,12,01,2021-01-12 01:00:00,2021-01-12,-6.6,겨울
19258,강남,669,2021,1,12,02,2021-01-12 02:00:00,2021-01-12,-8.0,겨울
20216,강남,678,2021,1,12,03,2021-01-12 03:00:00,2021-01-12,-9.2,겨울
20258,강남,681,2021,1,12,04,2021-01-12 04:00:00,2021-01-12,-9.6,겨울
20311,강남,683,2021,1,12,05,2021-01-12 05:00:00,2021-01-12,-9.0,겨울
20318,강남,681,2021,1,12,06,2021-01-12 06:00:00,2021-01-12,-8.9,겨울
20346,강남,704,2021,1,12,07,2021-01-12 07:00:00,2021-01-12,-8.9,겨울
20376,강남,722,2021,1,12,08,2021-01-12 08:00:00,2021-01-12,-8.6,겨울
20436,강남,774,2021,1,12,09,2021-01-12 09:00:00,2021-01-12,-7.5,겨울
20455,강남,766,2021,1,12,10,2021-01-12 10:00:00,2021-01-12,-6.0,겨울
20500,강남,680,2021,1,12,11,2021-01-12 11:00:00,2021-01-12,-3.0,겨울
20523,강남,629,2021,1,12,12,2021-01-12 12:00:00,2021-01-12,-1.5,겨울
20546,강남,598,2021,1,12,13,2021-01-12 13:00:00,2021-01-12,-0.1,겨울
20582,강남,581,2021,1,12,14,2021-01-12 14:00:00,2021-01-12,-0.2,겨울
20613,강남,561,2021,1,12,15,2021-01-12 15:00:00,2021-01-12,-0.1,겨울
20633,강남,570,2021,1,12,16,2021-01-12 16:00:00,2021-01-12,-1.4,겨울
20660,강남,598,2021,1,12,17,2021-01-12 17:00:00,2021-01-12,-1.5,겨울
20677,강남,652,2021,1,12,18,2021-01-12 18:00:00,2021-01-12,-1.2,겨울
20689,강남,738,2021,1,12,19,2021-01-12 19:00:00,2021-01-12,-1.0,겨울
20714,강남,752,2021,1,12,20,2021-01-12 20:00:00,2021-01-12,-0.9,겨울
20753,강남,770,2021,1,12,21,2021-01-12 21:00:00,2021-01-12,-0.6,겨울
20779,강남,775,2021,1,12,22,2021-01-12 22:00:00,2021-01-12,-1.8,겨울
20822,강남,743,2021,1,12,23,2021-01-12 23:00:00,2021-01-12,-2.0,겨울
20857,강남,667,2021,1,13,00,2021-01-13 00:00:00,2021-01-13,-2.7,겨울
20872,강남,636,2021,1,13,01,2021-01-13 01:00:00,2021-01-13,-1.5,겨울
20891,강남,564,2021,1,13,02,2021-01-13 02:00:00,2021-01-13,-1.7,겨울
20930,강남,565,2021,1,13,03,2021-01-13 03:00:00,2021-01-13,-3.2,겨울
20970,강남,571,2021,1,13,04,2021-01-13 04:00:00,2021-01-13,-2.3,겨울
21014,강남,575,2021,1,13,05,2021-01-13 05:00:00,2021-01-13,-2.7,겨울
21052,강남,601,2021,1,13,06,2021-01-13 06:00:00,2021-01-13,-2.8,겨울
21075,강남,645,2021,1,13,07,2021-01-13 07:00:00,2021-01-13,-3.0,겨울
21110,강남,648,2021,1,13,08,2021-01-13 08:00:00,2021-01-13,-2.9,겨울
21152,강남,684,2021,1,13,09,2021-01-13 09:00:00,2021-01-13,-1.7,겨울
21181,강남,653,2021,1,13,10,2021-01-13 10:00:00,2021-01-13,0.5,겨울
21206,강남,582,2021,1,13,11,2021-01-13 11:00:00,2021-01-13,2.9,겨울
21232,강남,568,2021,1,13,12,2021-01-13 12:00:00,2021-01-13,4.8,겨울
21246,강남,515,2021,1,13,13,2021-01-13 13:00:00,2021-01-13,7.2,겨울
21270,강남,475,2021,1,13,14,2021-01-13 14:00:00,2021-01-13,8.3,겨울
21289,강남,445,2021,1,13,15,2021-01-13 15:00:00,2021-01-13,8.8,겨울
21314,강남,408,2021,1,13,16,2021-01-13 16:00:00,2021-01-13,8.7,겨울
